gene,Deng:KeloidC3_MFB_vs_NSfib,Direder:Keloid_vs_Healthy,Direder:Keloid_vs_NormalScar,Direder:NormalScar_vs_Healthy,Wound:D7_vs_Skin,Wound:D30_vs_Skin,Wound:D7_FBI_vs_Skin
AC005840.2,-1.4356023,,,,,,
AC005840.4,0.2849909,,,,,,
AC005841.1,0.0,,,,,,
AC005842.1,0.0,,,,,,
AC005845.1,0.0,,,,,,
AC005856.1,17.95657,,,,,,
AC005863.1,0.0,,,,,,
AC005865.1,0.25503525,,,,,,
AC005871.1,0.0,,,,,,
AC005871.2,0.0,,,,,,
AC005884.1,-17.049686,,,,,,
AC005884.2,0.0,,,,,,
AC005899.1,3.0827277,,,,,,
AC005899.3,0.0,,,,,,
AC005899.5,-1.0015738,,,,,,
AC005899.6,-0.15167008,,,,,,
AC005899.7,0.7261382,,,,,,
AC005899.8,-0.35265326,,,,,,
AC005901.1,0.0,,,,,,
AC005908.2,0.0,,,,,,
AC005909.1,0.0,,,,,,
AC005920.1,-0.77747494,,,,,,
AC005920.2,0.0,,,,,,
AC005920.3,-17.602802,,,,,,
AC005920.4,0.0,,,,,,
AC005921.2,-0.62137675,,,,,,
AC005943.1,0.0,,,,,,
AC005944.1,-0.33120131,,,,,,
AC005954.2,0.0,,,,,,
AC005962.1,-16.334093,,,,,,
AC005972.1,18.1164,,,,,,
AC005972.4,2.4623199,,,,,,
AC005993.1,0.0,,,,,,
AC005996.1,0.0,,,,,,
AC005999.1,0.0,,,,,,
AC006004.1,0.0,,,,,,
AC006007.1,0.0,,,,,,
AC006012.1,0.3542487,,,,,,
AC006013.1,0.0,,,,,,
AC006017.1,-0.40470836,,,,,,
AC006019.1,0.0,,,,,,
AC006019.2,0.0,,,,,,
AC006019.3,0.0,,,,,,
AC006026.3,0.0,,,,,,
AC006027.1,-1.2423911,,,,,,
AC006030.1,-0.86937994,,,,,,
AC006033.2,-19.031372,,,,,,
AC006037.1,19.68931,,,,,,
AC006041.1,0.0,,,,,,
AC006042.1,-16.225788,,,,,,
AC006042.2,-17.380758,,,,,,
AC006042.4,-2.5752249,,,,,,
AC006055.1,0.0,,,,,,
AC006058.1,-17.43857,,,,,,
AC006058.2,0.0,,,,,,
AC006058.3,1.2597764,,,,,,
AC006059.1,-0.8126292,,,,,,
AC006063.2,3.015388,,,,,,
AC006064.1,-16.30581,,,,,,
