gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct
ANO1,0.38339275,0.9498005,0.7014285770953935,1.0,0.009852216748768473,0.0050323508267433505,0.0048198659220251225
CPM,0.38335016,1.7198694,0.701460148427962,1.0,0.007331882231641654,0.0025161754133716753,0.004815706818269979
AC106739.2,0.38276377,22.865932,0.7018949137786297,1.0,0.0048115477145148355,0.0,0.0048115477145148355
AC004556.1,0.38276377,21.747793,0.7018949137786297,1.0,0.0048115477145148355,0.0,0.0048115477145148355
SMAD5,0.3827474,0.20639618,0.7019070594638439,1.0,0.12349639133921411,0.12329259525521208,0.00020379608400203364
PIK3R3,0.38167292,0.62655413,0.7027039826159333,1.0,0.01626761370145492,0.011502516175413372,0.0047650975260415465
CPA3,0.38158447,4.077392,0.7027695975696827,1.0,0.0051552296941230384,0.0003594536304816679,0.004795776063641371
KLK4,0.38157794,4.1158056,0.7027744580247292,1.0,0.0051552296941230384,0.0003594536304816679,0.004795776063641371
SLC9A3,0.38150585,3.7714162,0.7028279238321729,1.0,0.0051552296941230384,0.0003594536304816679,0.004795776063641371
AMPD2,0.3806083,0.5672748,0.7034939392531576,1.0,0.016611295681063124,0.01186196980589504,0.004749325875168084
C1RL,0.3802905,0.23457578,0.7037297730001133,1.0,0.033451712681865045,0.02875629043853343,0.0046954222433316165
RBBP5,0.3801431,0.33096305,0.7038391900874105,1.0,0.025547027150876388,0.020848310567936738,0.00469871658293965
PRRC1,0.38011035,0.25374702,0.7038635058284712,1.0,0.049604765723450565,0.04529115744069015,0.004313608282760416
NXPH3,0.37948138,0.5286795,0.7043304267452826,1.0,0.013403597204719899,0.008626887131560028,0.0047767100731598705
GIPC2,0.3793471,1.5480077,0.7044301482631409,1.0,0.008706610150074465,0.003953989935298346,0.004752620214776119
MECOM,0.37913415,2.6150916,0.7045882537645873,1.0,0.005842593653339443,0.0010783608914450035,0.00476423276189444
SNX10,0.37903586,2.4720201,0.7046612298399584,1.0,0.005842593653339443,0.0010783608914450035,0.00476423276189444
NBEA,0.37882948,0.23784561,0.7048144884459338,1.0,0.031618742123954637,0.02695902228612509,0.004659719837829545
AC078909.1,0.37835777,1.177268,0.7051648388178591,1.0,0.008706610150074465,0.003953989935298346,0.004752620214776119
LPAR6,0.37681812,0.32872233,0.7063087783062019,1.0,0.030816817504868827,0.026240115025161753,0.004576702479707075
BHLHE22,0.37655932,0.34771875,0.7065011227315108,1.0,0.027609119028525603,0.023005032350826744,0.004604086677698859
PARP14,0.3761302,0.20781927,0.7068201149221481,1.0,0.07228777637759194,0.06865564342199856,0.0036321329555933785
NAIP,0.37609416,0.68960553,0.7068469028701025,1.0,0.015465689082369114,0.010783608914450037,0.004682080167919078
RTN4RL2,0.37427932,0.9111458,0.7081965102723292,1.0,0.009737656088899073,0.0050323508267433505,0.004705305262155722
ZCCHC7,0.37377813,0.22069196,0.7085693975467295,1.0,0.05796769389391683,0.05391804457225018,0.004049649321666647
