gene,score,logfc,pval,padj,pct_grp,pct_ref,delta_pct,secreted,membrane
TIPARP-AS1,-0.64641607,-1.6315808,0.51800995590734,1.0,0.009541984732824428,0.021808203350664357,-0.012266218617839929,False,False
FAM200B,-0.64741695,-0.38428685,0.5173621139142432,1.0,0.4208015267175573,0.3512420566146736,0.06955947010288366,False,False
TRHDE,-0.64870596,-3.7337184,0.5165284608371434,1.0,0.0019083969465648854,0.014298093587521665,-0.01238969664095678,False,True
ARAP2,-0.64971405,-1.630656,0.5158769272292522,1.0,0.019083969465648856,0.031051415366839977,-0.011967445901191122,False,False
ADGRB3,-0.6499877,-2.130886,0.5157001559895376,1.0,0.009541984732824428,0.021808203350664357,-0.012266218617839929,False,True
DENND3,-0.6501749,-1.3199605,0.5155792253598646,1.0,0.022900763358778626,0.034806470248411325,-0.0119057068896327,False,True
RFX2,-0.65041256,-0.63353384,0.515425757681979,1.0,0.11259541984732824,0.11813980358174465,-0.0055443837344164165,False,False
AFDN-DT,-0.6520616,-3.1609037,0.5143614386452617,1.0,0.0028625954198473282,0.015309069901790873,-0.012446474481943545,False,False
CCER2,-0.65227044,-4.135108,0.5142267374467806,1.0,0.0009541984732824427,0.013431542461005199,-0.012477343987722756,True,False
TMEM192,-0.65486276,-0.83105445,0.5125561132156793,1.0,0.10400763358778627,0.10875216637781629,-0.004744532790030023,False,True
ADAP1,-0.6550284,-2.6658175,0.5124494751260036,1.0,0.003816793893129771,0.01632004621606008,-0.01250325232293031,False,False
FXYD7,-0.6561517,-2.6213124,0.5117264960994108,1.0,0.0057251908396946565,0.018197573656845753,-0.012472382817151097,False,True
LSS,-0.65631735,-0.71749955,0.5116199480848533,1.0,0.16316793893129772,0.15800115540150203,0.005166783529795688,False,False
LINC00891,-0.6586937,-2.1850789,0.5100924916531866,1.0,0.006679389312977099,0.01920854997111496,-0.012529160658137861,False,False
COL4A5,-0.6601195,-3.394118,0.5091771642039402,1.0,0.0028625954198473282,0.015453495089543617,-0.012590899669696289,True,False
AL445183.2,-0.6601267,-4.7767296,0.5091725435226127,1.0,0.0009541984732824427,0.013575967648757943,-0.0126217691754755,False,False
PCDHGB6,-0.66107,-1.5211005,0.5085674242250411,1.0,0.016221374045801526,0.02859618717504333,-0.012374813129241803,False,True
FAM107B,-0.6611276,-0.47759804,0.5085304825938699,1.0,0.2833969465648855,0.2586655112651646,0.024731435299720883,False,False
ZNF571,-0.6613292,-1.3931091,0.5084011979648271,1.0,0.01812977099236641,0.030473714615829,-0.01234394362346259,False,False
FZD4,-0.66200614,-0.7892584,0.5079672970869853,1.0,0.08015267175572519,0.08867706528018486,-0.008524393524459675,False,True
ZNF219,-0.66237336,-0.6527196,0.5077319641179114,1.0,0.07442748091603053,0.0841998844598498,-0.009772403543819266,False,False
NHLRC4,-0.6634823,-2.4658391,0.5070216982858498,1.0,0.0057251908396946565,0.018341998844598497,-0.012616808004903841,False,False
ZNF540,-0.6670612,-2.0722694,0.5047330426312128,1.0,0.008587786259541985,0.02123050259965338,-0.012642716340111396,False,False
KIAA0408,-0.6677165,-3.6278548,0.5043145836107267,1.0,0.0028625954198473282,0.01559792027729636,-0.012735324857449033,False,False
MESP1,-0.6685374,-1.9998044,0.5037906185363362,1.0,0.016221374045801526,0.02859618717504333,-0.012374813129241803,False,False
UBXN11,-0.6685518,-1.1261545,0.5037814287320153,1.0,0.02862595419847328,0.04072790294627383,-0.012101948747800552,False,False
UGT3A2,-0.66970396,-2.564247,0.5030465311610968,1.0,0.003816793893129771,0.01660889659156557,-0.012792102698435798,False,True
STK32A,-0.6706977,-1.623581,0.50241313726583,1.0,0.013358778625954198,0.025996533795493933,-0.012637755169539735,False,False
